"collection1"
"Symbol.text","Symbol.href","Opinion"
"ARCB","http://www.barchart.com/quotes/stocks/ARCB","56% Buy"
"ARCW","http://www.barchart.com/quotes/stocks/ARCW","48% Sell"
"AREX","http://www.barchart.com/quotes/stocks/AREX","16% Buy"
"ARI","http://www.barchart.com/quotes/stocks/ARI","40% Buy"
"ARIA","http://www.barchart.com/quotes/stocks/ARIA","48% Buy"
"ARII","http://www.barchart.com/quotes/stocks/ARII","72% Sell"
"ARNA","http://www.barchart.com/quotes/stocks/ARNA","64% Buy"
"ARO","http://www.barchart.com/quotes/stocks/ARO","64% Sell"
"AROW","http://www.barchart.com/quotes/stocks/AROW","16% Buy"
"ARPI","http://www.barchart.com/quotes/stocks/ARPI","80% Sell"
"ARR","http://www.barchart.com/quotes/stocks/ARR","80% Sell"
"ARRY","http://www.barchart.com/quotes/stocks/ARRY","48% Sell"
"ARTNA","http://www.barchart.com/quotes/stocks/ARTNA","48% Buy"
"ARUN","http://www.barchart.com/quotes/stocks/ARUN","48% Buy"
"ARWR","http://www.barchart.com/quotes/stocks/ARWR","64% Sell"
"ASC","http://www.barchart.com/quotes/stocks/ASC","16% Buy"
"ASCMA","http://www.barchart.com/quotes/stocks/ASCMA","96% Sell"
"ASEI","http://www.barchart.com/quotes/stocks/ASEI","96% Sell"
"ASGN","http://www.barchart.com/quotes/stocks/ASGN","64% Buy"
"ASPS","http://www.barchart.com/quotes/stocks/ASPS","100% Sell"
"ASPX","http://www.barchart.com/quotes/stocks/ASPX","24% Sell"
"ASTE","http://www.barchart.com/quotes/stocks/ASTE","16% Sell"
"AT","http://www.barchart.com/quotes/stocks/AT","80% Sell"
"ATEN","http://www.barchart.com/quotes/stocks/ATEN","40% Sell"
"ATLO","http://www.barchart.com/quotes/stocks/ATLO","56% Buy"
"ATNI","http://www.barchart.com/quotes/stocks/ATNI","96% Buy"
"ATNM","http://www.barchart.com/quotes/stocks/ATNM","64% Sell"
"ATRC","http://www.barchart.com/quotes/stocks/ATRC","80% Buy"
"ATRI","http://www.barchart.com/quotes/stocks/ATRI","32% Buy"
"ATRO","http://www.barchart.com/quotes/stocks/ATRO","16% Sell"
"ATRS","http://www.barchart.com/quotes/stocks/ATRS","64% Buy"
"ATSG","http://www.barchart.com/quotes/stocks/ATSG","Hold"
"ATU","http://www.barchart.com/quotes/stocks/ATU","32% Sell"
"AUXL","http://www.barchart.com/quotes/stocks/AUXL","64% Buy"
"AVA","http://www.barchart.com/quotes/stocks/AVA","8% Buy"
"AVAV","http://www.barchart.com/quotes/stocks/AVAV","72% Sell"
"AVD","http://www.barchart.com/quotes/stocks/AVD","8% Sell"
"AVG","http://www.barchart.com/quotes/stocks/AVG","64% Buy"
"AVHI","http://www.barchart.com/quotes/stocks/AVHI","40% Sell"
"AVIV","http://www.barchart.com/quotes/stocks/AVIV","64% Buy"
"AVNR","http://www.barchart.com/quotes/stocks/AVNR","80% Buy"
"AWR","http://www.barchart.com/quotes/stocks/AWR","16% Buy"
"AXAS","http://www.barchart.com/quotes/stocks/AXAS","40% Sell"
"AXDX","http://www.barchart.com/quotes/stocks/AXDX","Hold"
"AXE","http://www.barchart.com/quotes/stocks/AXE","16% Buy"
"AXL","http://www.barchart.com/quotes/stocks/AXL","80% Buy"
"AXLL","http://www.barchart.com/quotes/stocks/AXLL","56% Buy"
"AYR","http://www.barchart.com/quotes/stocks/AYR","80% Buy"
"AZPN","http://www.barchart.com/quotes/stocks/AZPN","16% Sell"
"AZZ","http://www.barchart.com/quotes/stocks/AZZ","Hold"
"B","http://www.barchart.com/quotes/stocks/B","80% Buy"
"BABY","http://www.barchart.com/quotes/stocks/BABY","80% Buy"
"BALT","http://www.barchart.com/quotes/stocks/BALT","72% Sell"
"BANC","http://www.barchart.com/quotes/stocks/BANC","48% Sell"
"BANF","http://www.barchart.com/quotes/stocks/BANF","96% Buy"
"BANR","http://www.barchart.com/quotes/stocks/BANR","88% Buy"
"BAS","http://www.barchart.com/quotes/stocks/BAS","72% Sell"
"BBCN","http://www.barchart.com/quotes/stocks/BBCN","8% Buy"
"BBG","http://www.barchart.com/quotes/stocks/BBG","48% Sell"
"BBNK","http://www.barchart.com/quotes/stocks/BBNK","32% Sell"
"BBOX","http://www.barchart.com/quotes/stocks/BBOX","Hold"
"BBRG","http://www.barchart.com/quotes/stocks/BBRG","64% Sell"
"BBSI","http://www.barchart.com/quotes/stocks/BBSI","88% Sell"
"BBW","http://www.barchart.com/quotes/stocks/BBW","80% Buy"
"BBX","http://www.barchart.com/quotes/stocks/BBX","56% Sell"
"BC","http://www.barchart.com/quotes/stocks/BC","72% Buy"
"BCC","http://www.barchart.com/quotes/stocks/BCC","88% Buy"
"BCEI","http://www.barchart.com/quotes/stocks/BCEI","80% Sell"
"BCO","http://www.barchart.com/quotes/stocks/BCO","72% Sell"
"BCOR","http://www.barchart.com/quotes/stocks/BCOR","80% Sell"
"BCOV","http://www.barchart.com/quotes/stocks/BCOV","64% Buy"
"BCPC","http://www.barchart.com/quotes/stocks/BCPC","72% Buy"
"BCRX","http://www.barchart.com/quotes/stocks/BCRX","88% Sell"
"BDBD","http://www.barchart.com/quotes/stocks/BDBD","32% Sell"
"BDC","http://www.barchart.com/quotes/stocks/BDC","56% Buy"
"BDE","http://www.barchart.com/quotes/stocks/BDE","64% Buy"
"BDGE","http://www.barchart.com/quotes/stocks/BDGE","96% Buy"
"BDSI","http://www.barchart.com/quotes/stocks/BDSI","72% Sell"
"BEAT","http://www.barchart.com/quotes/stocks/BEAT","88% Buy"
"BEBE","http://www.barchart.com/quotes/stocks/BEBE","32% Buy"
"BECN","http://www.barchart.com/quotes/stocks/BECN","56% Buy"
"BEE","http://www.barchart.com/quotes/stocks/BEE","72% Buy"
"BELFB","http://www.barchart.com/quotes/stocks/BELFB","16% Buy"
"BERY","http://www.barchart.com/quotes/stocks/BERY","24% Buy"
"BFAM","http://www.barchart.com/quotes/stocks/BFAM","24% Buy"
"BFIN","http://www.barchart.com/quotes/stocks/BFIN","16% Buy"
"BFS","http://www.barchart.com/quotes/stocks/BFS","40% Buy"
"BGC","http://www.barchart.com/quotes/stocks/BGC","24% Sell"
"BGCP","http://www.barchart.com/quotes/stocks/BGCP","72% Buy"
"BGFV","http://www.barchart.com/quotes/stocks/BGFV","80% Buy"
"BGG","http://www.barchart.com/quotes/stocks/BGG","64% Buy"
"BGS","http://www.barchart.com/quotes/stocks/BGS","8% Buy"
"BH","http://www.barchart.com/quotes/stocks/BH","48% Buy"
"BHE","http://www.barchart.com/quotes/stocks/BHE","32% Buy"
"BHLB","http://www.barchart.com/quotes/stocks/BHLB","72% Buy"
"BID","http://www.barchart.com/quotes/stocks/BID","80% Buy"
"BIOS","http://www.barchart.com/quotes/stocks/BIOS","72% Sell"
"BIRT","http://www.barchart.com/quotes/stocks/BIRT","96% Sell"
"BJRI","http://www.barchart.com/quotes/stocks/BJRI","88% Buy"
"BKE","http://www.barchart.com/quotes/stocks/BKE","80% Buy"
"BKH","http://www.barchart.com/quotes/stocks/BKH","Hold"
"BKMU","http://www.barchart.com/quotes/stocks/BKMU","32% Buy"
"BKS","http://www.barchart.com/quotes/stocks/BKS","56% Buy"
"BKYF","http://www.barchart.com/quotes/stocks/BKYF","16% Buy"
"BLDR","http://www.barchart.com/quotes/stocks/BLDR","8% Buy"
"BLKB","http://www.barchart.com/quotes/stocks/BLKB","56% Buy"
"BLMN","http://www.barchart.com/quotes/stocks/BLMN","80% Buy"
"BLOX","http://www.barchart.com/quotes/stocks/BLOX","96% Buy"
"BLT","http://www.barchart.com/quotes/stocks/BLT","88% Buy"
"BLUE","http://www.barchart.com/quotes/stocks/BLUE","32% Buy"
"BLX","http://www.barchart.com/quotes/stocks/BLX","56% Buy"
"BMI","http://www.barchart.com/quotes/stocks/BMI","80% Buy"
